SYNNR;NAME;BUNDESLAND;LÄNGE;BREITE;STATIONSHÖHE;BEGINNDATUM;ORDNUNG;LÄNGE DEZI;BREITE DEZI
11058;WAIZENKIRCHEN;OOE;135153;481936;400;20080625;TAWES/VAMES;13,86472225;48,32666779
11059;WELS-SCHLEISSHEIM;OOE;140417;480946;309;19831001;TAWES;14,07138824;48,16277695
11341;WEYER;OOE;143957;475126;426;20070901;TAWES/VAMES;14,66583347;47,85722351
11355;WINDISCHGARSTEN;OOE;141934;474313;600;19831007;TAWES;14,32611084;47,72027588
11001;WOLFSEGG;OOE;134015;480620;635;19950601;TAWES;13,67083263;48,10555649
11369;ABTENAU;SAL;132036;473400;709;20080625;TAWES;13,34333324;47,56666565
11372;BAD GASTEIN;SAL;130800;470638;1092;20090901;TAWES;13,13333321;47,11055374
11141;BISCHOFSHOFEN;SAL;131316;472424;550;19960901;TAWES;13,22111034;47,4066658
11371;GOLLING;SAL;131054;473528;490;20080924;TAWES/VAMES;13,18166637;47,59111023
11179;GROSSARLTAL;SAL;131141;471429;882;20110214;Ö3;13,19472218;47,24139023
11344;KOLM SAIGURN;SAL;125905;470410;1626;19951101;TAWES;12,98472214;47,06944275
11373;KOLOMANSBERG;SAL;131631;475240;1113;20080625;TAWES;13,27527714;47,8777771
11136;KRIMML;SAL;121055;471345;1009;19970901;TAWES;12,18194389;47,22916412
11140;LOFER/ORT;SAL;124143;473504;622;19990401;TAWES/VAMES;12,69527721;47,58444595
11337;LOFERER ALM;SAL;123846;473552;1619;19941101;TAWES;12,64611053;47,59777832
11348;MARIAPFARR;SAL;134442;470908;1151;19910101;TAWES;13,74499989;47,15222168
11152;MATTSEE;SAL;130620;475838;502;19990801;TAWES;13,10555553;47,97722244
11073;MITTERSILL;SAL;122945;471645;783;20170801;TAWES;12,4958334;47,27916718
11149;OBERTAUERN;SAL;133335;471456;1772;19941213;TAWES;13,55972195;47,24888992
11208;RADSTADT-TANDALIER;SAL;132627;472248;835;20160808;TAWES/VAMES;13,44083309;47,38000107
11346;RAURIS;SAL;125933;471325;934;19921201;TAWES;12,99249935;47,22360992
11138;RUDOLFSHÜTTE;SAL;123733;470806;2317;19921201;TAWES;12,62583256;47,13499832
11366;SAALBACH;SAL;123854;472316;975;20081001;TAWES;12,6483326;47,38777924
11150;SALZBURG FLUGHAFEN;SAL;130030;474722;430;19390301;ACG;13,00833321;47,78944397
11350;SALZBURG/FREISAAL;SAL;130315;474728;419;19920201;TAWES;13,05416679;47,79111099
11340;SCHMITTENHÖHE;SAL;124417;471943;1956;19830928;TAWES;12,73805523;47,32860947
11343;SONNBLICK ;SAL;125727;470315;3109;19860901;TAWES;12,95750046;47,05416489
11364;ST.JOHANN IM PONGAU;SAL;131112;471911;634;20080301;TAWES;13,18666649;47,31972122
11148;ST.MICHAEL/LUNGAU;SAL;133722;470540;1052;20080601;TAWES/VAMES;13,62277699;47,09444427
11345;ST.VEIT IM PONGAU;SAL;130918;471945;749;19841101;TAWES;13,15499973;47,32916641
11399;TAMSWEG;SAL;134830;470759;1025;20080701;TAWES;13,8083334;47,13305664
11144;ZELL AM SEE;SAL;124711;471724;754;20190716;TAWES/VAMES;12,7863884;47,29000092
11375;AFLENZ;STMK;151427;473245;783;19830501;TAWES;15,24083328;47,54583359
11157;AIGEN/ENNSTAL;STMK;140818;473158;641;19920801;TAWES;14,13833332;47,53277588
11356;BAD AUSSEE;STMK;134530;473638;743;20130201;TAWES/VAMES;13,75833321;47,61055374
11244;BAD GLEICHENBERG;STMK;155413;465220;269;20030419;TAWES;15,90361118;46,8722229
11358;BAD MITTERNDORF;STMK;135605;473312;814;19831101;TAWES;13,93472195;47,55333328
11264;BAD RADKERSBURG;STMK;155936;464132;207;20160401;TAWES;15,99333286;46,6922226
11175;BRUCK/MUR;STMK;151459;472420;482;20041201;TAWES;15,24972153;47,40555573
11285;DEUTSCHLANDSBERG;STMK;151337;464918;354;20010501;TAWES/VAMES;15,22694397;46,82166672
11398;EICHBERG;STMK;155613;472400;692;20090101;TAWES;15,93694401;47,40000153
11298;FELDBACH;STMK;155247;465656;323;19981101;TAWES;15,87972164;46,94888687
11173;FISCHBACH;STMK;153838;472639;1034;19950101;TAWES/VAMES;15,64388847;47,44416809
11249;FROHNLEITEN;STMK;151854;471520;421;20080901;TAWES/VAMES;15,31499958;47,2555542
11246;FÜRSTENFELD;STMK;160451;470151;271;20070701;TAWES;16,08083344;47,0308342
11247;GLEISDORF;STMK;154229;470656;377;20070601;TAWES;15,7080555;47,11555481
11240;GRAZ-FLUGHAFEN;STMK;152624;465850;340;19390201;ACG;15,43999958;46,98055649
11238;GRAZ-STRASSGANG;STMK;152437;470246;357;20071201;TAWES/VAMES;15,41027737;47,04611206
11290;GRAZ-UNIVERSITÄT;STMK;152656;470440;367;19880601;TAWES;15,44888878;47,07777786
11359;GRÖBMING;STMK;135415;472648;766;20011001;TAWES;13,90416622;47,44666672
11167;HALL/ADMONT;STMK;142927;473540;637;20070701;TAWES/VAMES;14,49083328;47,59444427
11390;HARTBERG;STMK;155843;471650;330;19940801;TAWES/VAMES;15,97861004;47,28055573
11360;IRDNING-GUMPENSTEIN;STMK;140559;472942;697;19900101;TAWES;14,09972191;47,49499893
11362;KALWANG;STMK;144535;472517;744;19940210;TAWES/VAMES;14,75972176;47,42138672
11176;KAPFENBERG-FLUGFELD;STMK;152008;472730;515;20180523;TAWES/VAMES;15,33555508;47,45833206
11221;KÖFLACH ;STMK;150514;470413;465;20041101;TAWES;15,0872221;47,0702776
11292;LASSNITZHÖHE;STMK;153532;470425;530;19900201;TAWES;15,59222221;47,07361221
11274;LEOBEN;STMK;150512;472242;544;20121201;TAWES/VAMES;15,08666611;47,37833405
11171;MARIAZELL/ST.SEBASTIAN-FLUGFELD;STMK;151808;474721;864;20000801;TAWES/VAMES;15,30222225;47,7891655
11199;MOOSLANDL;STMK;144542;473851;530;20050916;TAWES;14,7616663;47,64749908
11280;MURAU;STMK;141037;470640;816;19890110;TAWES/VAMES;14,17694378;47,11111069
11177;MÜRZZUSCHLAG;STMK;154022;473608;705;20080911;TAWES;15,67277718;47,60222244
11220;NEUMARKT;STMK;142529;470411;869;19930801;TAWES/VAMES;14,42472172;47,06972122
11377;OBERWÖLZ;STMK;141712;471207;842;20070801;TAWES;14,28666592;47,20194626
11161;PRÄBICHL;STMK;145715;473118;1215;20000913;TAWES;14,95416641;47,52166748
11351;RAMSAU AM DACHSTEIN;STMK;133803;472531;1207;19910101;TAWES;13,63416672;47,42527771
11063;ROTTENMANN;STMK;142549;473028;707;20090901;TAWES/VAMES;14,43027687;47,50777817
11241;SCHÖCKL;STMK;152759;471155;1443;19921201;TAWES;15,4663887;47,19861221
11166;SECKAU;STMK;144643;471615;872;20011214;TAWES;14,77861023;47,27083206
11242;ST.RADEGUND;STMK;152923;471056;726;19860401;TAWES;15,48972225;47,18222046
11363;STOLZALPE;STMK;141118;470723;1291;20070801;TAWES;14,18833256;47,1230545
11296;WAGNA-LEIBNITZ;STMK;153310;464603;268;20031101;TAWES/VAMES;15,55277824;46,76749802
11365;ZELTWEG;STMK;144449;471159;678;19920401;TAWES;14,74694443;47,19972229
11266;ACHENKIRCH CAMPINGPLATZ;TIR;114224;472958;931;20161004;TAWES;11,70666695;47,49944305
11125;ALPBACH;TIR;115625;472349;929;20071127;TAWES;11,9402771;47,39694595
11129;BRENNER;TIR;113039;470026;1412;20071201;TAWES;11,51083374;47,00722122
11318;BRUNNENKOGEL;TIR;105142;465446;3437;20030701;TAWES;10,86166668;46,91277695
11118;EHRWALD;TIR;105512;472415;982;20071018;TAWES;10,91999912;47,40416718
11312;GALTÜR;TIR;101108;465805;1587;19961101;TAWES;10,18555546;46,96805573
11110;GALZIG;TIR;101349;470747;2079;19930901;TAWES;10,23027706;47,1297226
11135;HAHNENKAMM/EHRENBACHHÖHE;TIR;122133;472506;1794;19921112;TAWES;12,3591671;47,41833115
8989044;HAHNENKAMM/SONNENRAST;TIR;122134;472433;1667;20161020;TAWES;12,35944462;47,40916824
11309;HAIMING;TIR;105322;471535;659;20070819;TAWES;10,88944435;47,25972366
11250;HINTERTUX ;TIR;114030;470623;1505;20130201;Ö3;11,675;47,1063889
11339;HOCHFILZEN;TIR;123716;472813;962;20071201;TAWES;12,62111092;47,47027588
11315;HOLZGAU;TIR;102019;471527;1092;20070901;TAWES;10,33861065;47,25749969
11115;IMST;TIR;104432;471413;773;20070801;TAWES;10,74222183;47,23694229
11120;INNSBRUCK-FLUGPLATZ;TIR;112124;471536;578;19920701;TAWES;11,35666656;47,25999832
11320;INNSBRUCK-UNIV.;TIR;112303;471536;578;19860501;TAWES;11,38416672;47,25999832
11310;ISCHGL-IDALPE;TIR;101902;465857;2327;19840901;TAWES;10,31722164;46,98249817
11200;KALS;TIR;123847;470017;1352;20070801;TAWES/VAMES;12,64638901;47,0047226
11327;KIRCHDORF;TIR;122747;473358;637;20060615;TAWES;12,46305561;47,56611252
11279;KITZBÜHEL;TIR;122321;472638;772;20141101;TAWES;12,38916588;47,44388962
11131;KÖSSEN;TIR;122338;473946;588;20080901;TAWES/VAMES;12,39388847;47,66277695
11130;KUFSTEIN;TIR;120946;473431;490;19920601;TAWES;12,1627779;47,57527542
11112;LANDECK;TIR;103349;470825;796;19930701;TAWES;10,56361103;47,14027786
11204;LIENZ;TIR;124823;464932;661;19851201;TAWES/VAMES;12,80638885;46,82555389
11330;MAYRHOFEN;TIR;115106;470945;640;20070901;TAWES/VAMES;11,8516666;47,16249847
11113;NAUDERS;TIR;102949;465328;1330;20040601;TAWES;10,49694443;46,89110947
11324;NEUSTIFT/MILDERS;TIR;111731;470610;1007;20041101;TAWES;11,2919445;47,10277939
11127;OBERGURGL;TIR;110128;465201;1941;19990108;TAWES;11,02444363;46,8669434
11126;PATSCHERKOFEL;TIR;112744;471232;2251;19930801;TAWES;11,4622221;47,20888901
11316;PITZTALER GLETSCHER;TIR;105245;465537;2864;19940101;TAWES;10,87916565;46,92694473
11313;PRUTZ;TIR;103953;470407;871;20041201;TAWES;10,66472244;47,06861115
11314;REUTTE;TIR;104255;472940;842;19940701;TAWES/VAMES;10,71527767;47,4944458
11123;RINN;TIR;113014;471457;924;20071201;TAWES;11,50388908;47,24916458
11326;SCHMIRN;TIR;113449;470514;1464;20041101;TAWES;11,58027744;47,08722305
