,Kurzbeschreibung,Beschreibung,Einheit
TB3_FLAG,Qualitätsflag der Erdbodentemperatur in 50 cm,"Qualitätsflag für die Erdbodentemperatur in 50cm Tiefe - Qualitätsflag={100: original, ok, 200: original, ok, 300: nicht original, manuell ergänzt, 400: nicht original, gelöscht, 500: nicht original, automatisch ergänzt, 0: (noch) nicht geprüft, -1: erwartet, aber (noch) nicht empfangen, 1: nicht gemessen, 2: fehlt oder zu spät}",code
TL,Lufttemperatur in 2m,"Lufttemperatur in 2m Höhe, Basiswert zur Minute10",°C
TLMAX,Lufttemperaturmaximum in 2m,"Maximum der Lufttemperatur in 2m Höhe, Maximum der letzten 10 Minuten",°C
TLMAX_FLAG,Qualitätsflag des Lufttemperaturmaximums in 2m,"Qualitätsflag für das Maximum der Lufttemperatur in 2m Höhe - Qualitätsflag={100: original, ok, 200: original, ok, 300: nicht original, manuell ergänzt, 400: nicht original, gelöscht, 500: nicht original, automatisch ergänzt, 0: (noch) nicht geprüft, -1: erwartet, aber (noch) nicht empfangen, 1: nicht gemessen, 2: fehlt oder zu spät}",code
TLMIN,Lufttemperaturminimum in 2m,"Minimum der Lufttemperatur in 2m Höhe, Minimum der letzten 10 Minuten",°C
TLMIN_FLAG,Qualitätsflag des Lufttemperaturminimums in 2m,"Qualitätsflag für das Minimum der Lufttemperatur in 2m Höhe - Qualitätsflag={100: original, ok, 200: original, ok, 300: nicht original, manuell ergänzt, 400: nicht original, gelöscht, 500: nicht original, automatisch ergänzt, 0: (noch) nicht geprüft, -1: erwartet, aber (noch) nicht empfangen, 1: nicht gemessen, 2: fehlt oder zu spät}",code
TL_FLAG,Qualitätsflag der Lufttemperatur in 2m,"Qualitätsflag für die Lufttemperatur in 2m Höhe - Qualitätsflag={100: original, ok, 200: original, ok, 300: nicht original, manuell ergänzt, 400: nicht original, gelöscht, 500: nicht original, automatisch ergänzt, 0: (noch) nicht geprüft, -1: erwartet, aber (noch) nicht empfangen, 1: nicht gemessen, 2: fehlt oder zu spät}",code
TP,Taupunkt,"Taupunktstemperatur,  Basiswert zur Minute10",°C
TP_FLAG,Qualitätsflag des Taupunkts,"Qualitätsflag für den Taupunkt - Qualitätsflag={100: original, ok, 200: original, ok, 300: nicht original, manuell ergänzt, 400: nicht original, gelöscht, 500: nicht original, automatisch ergänzt, 0: (noch) nicht geprüft, -1: erwartet, aber (noch) nicht empfangen, 1: nicht gemessen, 2: fehlt oder zu spät}",code
TS,Lufttemperatur in 5cm,"Lufttemperatur in 5cm Höhe über Boden, Basiswert zur Minute10",°C
TSMAX,Lufttemperaturmaximum in 5cm,"Maximum der Lufttemperatur in 5cm Höhe über Boden, Maximum der letzten 10 Minuten",°C
TSMAX_FLAG,Qualitätsflag des Lufttemperaturmaximums in 5cm,"Qualitätsflag für das Maximum der Lufttemperatur in 5cm Höhe - Qualitätsflag={100: original, ok, 200: original, ok, 300: nicht original, manuell ergänzt, 400: nicht original, gelöscht, 500: nicht original, automatisch ergänzt, 0: (noch) nicht geprüft, -1: erwartet, aber (noch) nicht empfangen, 1: nicht gemessen, 2: fehlt oder zu spät}",code
TSMIN,Lufttemperaturminimum in 5cm,"Minimum der Lufttemperatur in 5cm Höhe über Boden, Minimum der letzten 10 Minuten",°C
TSMIN_FLAG,Qualitätsflag des Lufttemperaturminimums in 5cm,"Qualitätsflag für das Minimum der Lufttemperatur in 5cm Höhe - Qualitätsflag={100: original, ok, 200: original, ok, 300: nicht original, manuell ergänzt, 400: nicht original, gelöscht, 500: nicht original, automatisch ergänzt, 0: (noch) nicht geprüft, -1: erwartet, aber (noch) nicht empfangen, 1: nicht gemessen, 2: fehlt oder zu spät}",code
TS_FLAG,Qualitätsflag der Lufttemperatur in 5cm,"Qualitätsflag für die Lufttemperatur in 5cm Höhe - Qualitätsflag={100: original, ok, 200: original, ok, 300: nicht original, manuell ergänzt, 400: nicht original, gelöscht, 500: nicht original, automatisch ergänzt, 0: (noch) nicht geprüft, -1: erwartet, aber (noch) nicht empfangen, 1: nicht gemessen, 2: fehlt oder zu spät}",code
ZEITX,Zeitpunkt der maximalen Windgeschwindigkeit,Zeitpunkt der maximalen Windgeschwindigkeit (Böenspitze) im Format mm,
ZEITX_FLAG,Qualitätsflag des Zeitpunkts der maximalen Windgeschwindigkeit,"Qualitätsflag für den Zeitpunkt der maximalen Windgeschwindigkeit - Qualitätsflag={100: original, ok, 200: original, ok, 300: nicht original, manuell ergänzt, 400: nicht original, gelöscht, 500: nicht original, automatisch ergänzt, 0: (noch) nicht geprüft, -1: erwartet, aber (noch) nicht empfangen, 1: nicht gemessen, 2: fehlt oder zu spät}",code
